Step 93: Latitude: 38.5949500, Longitude: 68.7770300, Distance to trail: 280.52 м, time: 1733997706 сек, Time difference: 1 сек
Step 94: Latitude: 38.5973900, Longitude: 68.7762100, Distance to trail: 295.67 м, time: 1733997707 сек, Time difference: 1 сек
Step 95: Latitude: 38.5999800, Longitude: 68.7754400, Distance to trail: 167.20 м, time: 1733997708 сек, Time difference: 1 сек
Step 96: Latitude: 38.6014600, Longitude: 68.7751000, Distance to trail: 14.46 м, time: 1733997709 сек, Time difference: 1 сек
Step 97: Latitude: 38.6015900, Longitude: 68.7751000, Distance to trail: 13.46 м, time: 1733997710 сек, Time difference: 1 сек
Step 98: Latitude: 38.6017100, Longitude: 68.7751200, Distance to trail: 21.99 м, time: 1733997711 сек, Time difference: 1 сек
Step 99: Latitude: 38.6019000, Longitude: 68.7751900, Distance to trail: 4.48 м, time: 1733997712 сек, Time difference: 1 сек
Step 100: Latitude: 38.6018900, Longitude: 68.7752400, Distance to trail: 11.51 м, time: 1733997713 сек, Time difference: 1 сек
Step 101: Latitude: 38.6019099, Longitude: 68.7753700, Distance to trail: 6.48 м, time: 1733997714 сек, Time difference: 1 сек
Step 102: Latitude: 38.6019300, Longitude: 68.7754400, Distance to trail: 11.66 м, time: 1733997715 сек, Time difference: 1 сек
Step 103: Latitude: 38.6019900, Longitude: 68.7755500, Distance to trail: 11.29 м, time: 1733997716 сек, Time difference: 1 сек
Step 104: Latitude: 38.6020700, Longitude: 68.7756300, Distance to trail: 6.14 м, time: 1733997717 сек, Time difference: 1 сек
Step 105: Latitude: 38.6021200, Longitude: 68.7756600, Distance to trail: 5.83 м, time: 1733997718 сек, Time difference: 1 сек
Step 106: Latitude: 38.6021700, Longitude: 68.7756800, Distance to trail: 12.23 м, time: 1733997719 сек, Time difference: 1 сек
Step 107: Latitude: 38.6022800, Longitude: 68.7756800, Distance to trail: 5.63 м, time: 1733997720 сек, Time difference: 1 сек
Step 108: Latitude: 38.6023300, Longitude: 68.7756700, Distance to trail: 7.16 м, time: 1733997721 сек, Time difference: 1 сек
Step 109: Latitude: 38.6023900, Longitude: 68.7756400, Distance to trail: 9.37 м, time: 1733997722 сек, Time difference: 1 сек
Step 110: Latitude: 38.6024600, Longitude: 68.7755800, Distance to trail: 6.22 м, time: 1733997723 сек, Time difference: 1 сек
Step 111: Latitude: 38.6025000, Longitude: 68.7755300, Distance to trail: 11.65 м, time: 1733997724 сек, Time difference: 1 сек
Step 112: Latitude: 38.6025599, Longitude: 68.7754200, Distance to trail: 24.83 м, time: 1733997725 сек, Time difference: 1 сек
Step 113: Latitude: 38.6027500, Longitude: 68.7752700, Distance to trail: 38.42 м, time: 1733997726 сек, Time difference: 1 сек
Step 114: Latitude: 38.6029800, Longitude: 68.7749400, Distance to trail: 103.39 м, time: 1733997727 сек, Time difference: 1 сек
Step 115: Latitude: 38.6035600, Longitude: 68.7740100, Distance to trail: 71.39 м, time: 1733997728 сек, Time difference: 1 сек
Step 116: Latitude: 38.6039900, Longitude: 68.7734000, Distance to trail: 23.99 м, time: 1733997729 сек, Time difference: 1 сек
Step 117: Latitude: 38.6041600, Longitude: 68.7732300, Distance to trail: 55.31 м, time: 1733997730 сек, Time difference: 1 сек
Step 118: Latitude: 38.6045900, Longitude: 68.7729100, Distance to trail: 43.43 м, time: 1733997731 сек, Time difference: 1 сек
Step 119: Latitude: 38.6049600, Longitude: 68.7727500, Distance to trail: 1104.12 м, time: 1733997732 сек, Time difference: 1 сек
